name,domain,city,status,pages_checked,address_candidates,next_action
Valiant Finance,valiantfinance.com.au,Sydney,address_candidate_needs_verification,https://www.valiantfinance.com/ | https://www.valiantfinance.com/contact | https://www.valiantfinance.com/locations | https://www.valiantfinance.com/support,"15 Foster Street, Surry Hills NSW 2010",Verify candidate text on the cited first-party page before geocoding.
Get Capital,getcapital.com.au,Sydney,address_candidate_needs_verification,https://www.shift.com.au/ | https://www.shift.com.au/contact | https://www.shift.com.au/contact-us | https://www.shift.com.au/locations | https://www.shift.com.au/support,177 Pacific Hwy North Sydney NSW 2060,Verify candidate text on the cited first-party page before geocoding.
Tiimely,tiimely.com,Adelaide,address_candidate_needs_verification,https://tiimely.com/ | https://tiimely.com/contact | https://tiimely.com/contact-us | https://tiimely.com/locations | https://tiimely.com/support,"121 King William Street, Adelaide SA 5000 | 50 Bridge Street, Sydney NSW 2000",Verify candidate text on the cited first-party page before geocoding.
Open Insurance,open.com.au,Sydney,no_candidate_found,https://radiatorsoftware.com/ | https://radiatorsoftware.com/contact/ | https://radiatorsoftware.com/contact-us | https://radiatorsoftware.com/locations | https://radiatorsoftware.com/support/,,Verify candidate text on the cited first-party page before geocoding.
Everyday Rewards,everydayrewards.com.au,Sydney,no_candidate_found,https://www.everyday.com.au/ | https://www.everyday.com.au/contact.html | https://www.everyday.com.au/contact-us | https://www.everyday.com.au/locations | https://www.everyday.com.au/support.html,,Verify candidate text on the cited first-party page before geocoding.
Xemplo,xemplo.com,Brisbane,no_candidate_found,https://www.xemplo.com/ | https://www.xemplo.com/book-a-demo | https://www.xemplo.com/locations | https://www.xemplo.com/support,,Verify candidate text on the cited first-party page before geocoding.
Tic:toc,tictoc.com.au,Adelaide,no_candidate_found,https://tiimelyhome.com.au/ | https://tiimelyhome.com.au/contact | https://tiimelyhome.com.au/contact-us | https://tiimelyhome.com.au/locations | https://tiimelyhome.com.au/support,,Verify candidate text on the cited first-party page before geocoding.
Uno Home Loans,uno.com.au,Sydney,address_candidate_needs_verification,https://www.unohomeloans.com.au/ | https://www.unohomeloans.com.au/contact-us | https://www.unohomeloans.com.au/locations | https://www.unohomeloans.com.au/support,"123 Pitt Street, Sydney NSW 2000",Verify candidate text on the cited first-party page before geocoding.
Tixel,tixel.com,Brisbane,no_candidate_found,https://tixel.com/au/ | https://tixel.com/au/contact | https://tixel.com/au/contact-us | https://tixel.com/au/locations | https://tixel.com/au/support,,Verify candidate text on the cited first-party page before geocoding.
Moshtix,moshtix.com.au,Melbourne,no_candidate_found,https://moshtix.com.au/v2/ | https://moshtix.com.au/v2/a/contact | https://moshtix.com.au/v2/error/not-found?aspxerrorpath=/v2/contact-us | https://moshtix.com.au/v2/error/not-found?aspxerrorpath=/v2/locations | https://moshtix.com.au/v2/error/not-found?aspxerrorpath=/v2/support,,Verify candidate text on the cited first-party page before geocoding.
